id,term,def
,co-lo,"[very common; first heard c.1995] Short for ‘co-location’, used of a machine you own that is physically sited on the premises of an ISP in order to take advantage of the ISP's direct access to lots of network bandwidth. Often in the phrases [[b;#fff;]co-lo box] or [[b;#fff;]co-lo machines]. Co-lo boxes are typically web and FTP servers remote-administered by their owners, who may seldom or never visit the actual site."
,coaster,"1. Unuseable CD produced during failed attempt at writing to writeable or re-writeable CD media. Certainly related to the coaster-like shape of a CD, and the relative value of these failures. [[i;;]I made a lot of coasters before I got a good CD.] 2. Useless CDs received in the mail from the likes of AOL, MSN, CI$, Prodigy, ad nauseam.In the U.K., [[b;#fff;]beermat] is often used in these senses."
,"coaster toaster","A writer for recordable CD-Rs, especially cheap IDE models that tend to produce a high proportion of [[bu;#fff;;jargon]coaster]s."
,COBOL,"[COmmon Business-Oriented Language] (Synonymous with [[bu;#fff;;jargon]evil].) A weak, verbose, and flabby language used by [[bu;#fff;;jargon]code grinder]s to do boring mindless things on [[bu;#fff;;jargon]dinosaur] mainframes. Hackers believe that all COBOL programmers are [[bu;#fff;;jargon]suit]s or [[bu;#fff;;jargon]code grinder]s, and no self-respecting hacker will ever admit to having learned the language. Its very name is seldom uttered without ritual expressions of disgust or horror. One popular one is Edsger W. Dijkstra's famous observation that [[i;;]The use of COBOL cripples the mind; its teaching should, therefore, be regarded as a criminal offense.] (from Selected Writings on Computing: A Personal Perspective) See also [[bu;#fff;;jargon]fear and loathing], [[bu;#fff;;jargon]software rot]."
,"COBOL fingers","Reported from Sweden, a (hypothetical) disease one might get from coding in COBOL. The language requires code verbose beyond all reason (see [[bu;#fff;;jargon]candygrammar]); thus it is alleged that programming too much in COBOL causes one's fingers to wear down to stubs by the endless typing. [[i;;]I refuse to type in all that source code again; it would give me COBOL fingers!]"
,"cobweb site","A World Wide Web Site that hasn't been updated so long it has figuratively grown cobwebs."
,code,"1. [[b;#fff;]n.] The stuff that software writers write, either in source form or after translation by a compiler or assembler. Often used in opposition to [[i;;]data], which is the stuff that code operates on. Among hackers this is a mass noun, as in [[i;;]How much code does it take to do a bubble sort?], or [[i;;]The code is loaded at the high end of RAM.] Among scientific programmers it is sometimes a count noun equilvalent to [[i;;]program]; thus they may speak of [[i;;]codes] in the plural. Anyone referring to software as [[i;;]the software codes] is probably a [[bu;#fff;;jargon]newbie] or a [[bu;#fff;;jargon]suit]. 2. [[b;#fff;]v.] To write code. In this sense, always refers to source code rather than compiled. [[i;;]I coded an Emacs clone in two hours!] This verb is a bit of a cultural marker associated with the Unix and minicomputer traditions (and lately Linux); people within that culture prefer v. ‘code’ to v. ‘program’ whereas outside it the reverse is normally true."
,"code grinder","1. A [[bu;#fff;;jargon]suit]-wearing minion of the sort hired in legion strength by banks and insurance companies to implement payroll packages in RPG and other such unspeakable horrors. In its native habitat, the code grinder often removes the suit jacket to reveal an underplumage consisting of button-down shirt (starch optional) and a tie. In times of dire stress, the sleeves (if long) may be rolled up and the tie loosened about half an inch. It seldom helps. The [[bu;#fff;;jargon]code grinder]'s milieu is about as far from hackerdom as one can get and still touch a computer; the term connotes pity. See [[bu;#fff;;jargon]Real World], [[bu;#fff;;jargon]suit]. 2. Used of or to a hacker, a really serious slur on the person's creative ability; connotes a design style characterized by primitive technique, rule-boundedness, [[bu;#fff;;jargon]brute force], and utter lack of imagination. Contrast [[bu;#fff;;jargon]hacker], [[bu;#fff;;jargon]Real Programmer]."
,"code monkey","1. A person only capable of grinding out code, but unable to perform the higher-primate tasks of software architecture, analysis, and design. Mildly insulting. Often applied to the most junior people on a programming team. 2. Anyone who writes code for a living; a programmer. 3. A self-deprecating way of denying responsibility for a [[bu;#fff;;jargon]management] decision, or of complaining about having to live with such decisions. As in [[i;;]Don't ask me why we need to write a compiler in COBOL, I'm just a code monkey.]"
,"Code of the Geeks","see [[bu;#fff;;jargon]geek code]."
,"code police","[by analogy with George Orwell's ‘thought police’] A mythical team of Gestapo-like storm troopers that might burst into one's office and arrest one for violating programming style rules. May be used either seriously, to underline a claim that a particular style violation is dangerous, or ironically, to suggest that the practice under discussion is condemned mainly by anal-retentive [[bu;#fff;;jargon]weenie]s. [[i;;]Dike out that goto or the code police will get you!] The ironic usage is perhaps more common."
,codes,"[scientific computing] Programs. This usage is common in people who hack supercomputers and heavy-duty [[bu;#fff;;jargon]number-crunching], rare to unknown elsewhere (if you say [[i;;]codes] to hackers outside scientific computing, their first association is likely to be [[i;;]and cyphers])."
,codewalker,"A program component that traverses other programs for a living. Compilers have codewalkers in their front ends; so do cross-reference generators and some database front ends. Other utility programs that try to do too much with source code may turn into codewalkers. As in [[i;;]This new vgrind feature would require a codewalker to implement.]"
,"coefficient of X","Hackish speech makes heavy use of pseudo-mathematical metaphors. Four particularly important ones involve the terms [[b;#fff;]coefficient], [[b;#fff;]factor], [[b;#fff;]index of X], and [[b;#fff;]quotient]. They are often loosely applied to things you cannot really be quantitative about, but there are subtle distinctions among them that convey information about the way the speaker mentally models whatever he or she is describing. [[b;#fff;]Foo factor] and [[b;#fff;]foo quotient] tend to describe something for which the issue is one of presence or absence. The canonical example is [[bu;#fff;;jargon]fudge factor]. It's not important how much you're fudging; the term simply acknowledges that some fudging is needed. You might talk of liking a movie for its silliness factor. Quotient tends to imply that the property is a ratio of two opposing factors: [[i;;]I would have won except for my luck quotient.] This could also be [[i;;]I would have won except for the luck factor], but using [[b;#fff;]quotient] emphasizes that it was bad luck overpowering good luck (or someone else's good luck overpowering your own). [[b;#fff;]Foo index] and [[b;#fff;]coefficient of foo] both tend to imply that foo is, if not strictly measurable, at least something that can be larger or smaller. Thus, you might refer to a paper or person as having a [[b;#fff;]high bogosity index], whereas you would be less likely to speak of a [[b;#fff;]high bogosity factor]. [[b;#fff;]Foo index] suggests that foo is a condensation of many quantities, as in the mundane cost-of-living index; [[b;#fff;]coefficient of foo] suggests that foo is a fundamental quantity, as in a coefficient of friction. The choice between these terms is often one of personal preference; e.g., some people might feel that bogosity is a fundamental attribute and thus say [[b;#fff;]coefficient of bogosity], whereas others might feel it is a combination of factors and thus say [[b;#fff;]bogosity index]."
